Descripcion_Caso,Antiguedad_Contrato,Volumen_Tickets_Ult_Mes,Segmento_Cliente,Churn_Score
"El botón de pago tiene un fallo crítico desde ayer. ¡Necesito una solución URGENTE! Mis credenciales son <email1> y <password1>.",3,10,C,95
"Excelente servicio la última mejora funcionó muy bien. Quisiéramos añadir una nueva feature de reporte en la sección A.",24,2,A,10
"No puedo acceder al sistema desde esta mañana, error 500 constante",2,15,C,97
"La aplicación se cae cada vez que intento exportar datos, es urgente",3,18,C,93
"Necesito ayuda para configurar el nuevo módulo de reportes",12,5,B,35
"Error crítico en producción, los clientes no pueden completar compras",1,22,C,98
"Me gustaría explorar opciones para integrar con nuestro ERP",36,1,A,8
"El dashboard no carga, llevamos 4 horas sin servicio",2,19,C,96
"Solicitud de nueva funcionalidad: exportación automática de reportes",28,3,A,15
"La base de datos responde muy lento, afecta a todos los usuarios",4,14,C,89
"Queremos contratar módulos adicionales para el área de ventas",42,2,A,5
"Bug en el proceso de checkout, perdiendo ventas por esto",3,16,C,91
"Consulta sobre mejores prácticas para optimizar el rendimiento",18,4,B,25
"Sistema completamente caído, nadie puede trabajar. URGENTE",1,25,C,99
"Propuesta de mejora: añadir filtros avanzados en búsqueda",32,2,A,12
"El módulo de facturación genera errores al procesar pagos recurrentes",5,12,B,72
"Excelente soporte, ahora necesitamos configurar usuarios adicionales",24,3,A,18
"La integración con el API falla constantemente desde la actualización",3,17,C,94
"Me interesa conocer las nuevas funcionalidades del plan enterprise",30,1,A,10
"Error al sincronizar datos entre módulos, información inconsistente",6,11,B,68
"Fallo grave en autenticación, usuarios reportan que no pueden entrar",2,20,C,95
"Solicitud para personalizar reportes según nuestras necesidades",26,3,A,16
"El sistema de notificaciones no funciona desde ayer",7,9,B,61
"Queremos ampliar licencias y añadir más funcionalidades",38,2,A,7
"Problemas críticos con la pasarela de pagos, clientes frustrados",3,19,C,92
"Consulta técnica sobre configuración de permisos avanzados",15,5,B,32
"La app móvil crashea al cargar imágenes grandes",8,8,B,58
"Error 404 en varias secciones críticas del portal",4,13,C,87
"Propuesta para implementar dashboard personalizado",34,2,A,11
"No podemos generar reportes mensuales, necesitamos esto YA",3,14,C,90
"Interesados en demo de nuevas funcionalidades de analytics",28,1,A,14
"El módulo de inventarios no actualiza stock en tiempo real",9,7,B,55
"Sistema lento desde hace días, afecta productividad",6,10,B,65
"Falla crítica en backup automático, riesgo de pérdida de datos",2,18,C,96
"Solicitud de capacitación para equipo en nuevas features",22,3,A,19
"La importación de datos CSV genera errores constantemente",7,9,B,62
"Excelente servicio, queremos renovar contrato anticipadamente",40,1,A,6
"Bug al eliminar registros, algunos quedan duplicados",8,8,B,56
"No funciona el reset de contraseña, usuarios bloqueados",4,15,C,88
"Consulta para integrar sistema de tickets con nuestro CRM",20,4,A,22
"Error al procesar archivos XML en importación masiva",10,6,B,50
"Fallo grave en servidor, sitio completamente inaccesible",1,24,C,99
"Queremos explorar plan premium con funcionalidades adicionales",35,2,A,9
"La búsqueda no devuelve resultados correctos",11,5,B,48
"Problema urgente con certificado SSL, sitio no seguro",3,16,C,91
"Solicitud de mejora: notificaciones por WhatsApp",25,3,A,17
"El formulario de contacto no envía emails correctamente",9,7,B,57
"Sistema caído desde medianoche, clientes sin poder operar",2,21,C,97
"Interesados en módulo de inteligencia artificial para predicciones",32,2,A,13
"Error al cargar archivos PDF en documentación",12,5,B,42
"La función de búsqueda avanzada no filtra correctamente",13,4,B,38
"Fallo crítico en API de pagos, transacciones rechazadas",3,17,C,93
"Consulta sobre roadmap de producto y próximas funcionalidades",29,2,A,14
"El editor de texto pierde formato al guardar",10,6,B,52
"No se pueden crear nuevos usuarios, error de permisos",5,12,C,82
"Propuesta de integración con plataforma de email marketing",27,3,A,16
"La exportación a Excel genera archivos corruptos",11,5,B,46
"Error grave en cálculos de impuestos en facturación",4,14,C,86
"Solicitud de customización del logo y colores corporativos",24,2,A,18
"El chat de soporte no carga mensajes históricos",8,7,B,59
"Falla en sincronización con sistemas externos",6,11,B,66
"Sistema extremadamente lento, timeout en operaciones",3,18,C,94
"Queremos contratar consultoría para optimizar procesos",33,2,A,11
"Error al validar formularios, no permite enviar datos",9,8,B,54
"La app no funciona offline como estaba prometido",7,9,B,63
"Bug crítico en módulo de nómina, cálculos incorrectos",4,15,C,89
"Solicitud de integración con sistema de contabilidad SAP",28,3,A,15
"El gráfico de dashboard muestra datos incorrectos",10,6,B,51
"No puedo recuperar mi contraseña, el email no llega",5,13,C,81
"Interesados en capacitación avanzada para administradores",26,2,A,17
"La función de autocompletado no sugiere resultados",12,4,B,40
"Error al procesar pagos internacionales",8,8,B,60
"Fallo grave: los datos de clientes no se guardan correctamente",2,19,C,95
"Consulta sobre migración de datos desde sistema legacy",22,3,A,20
"El módulo de reportes no genera PDFs correctamente",11,5,B,47
"La plataforma no responde en horarios pico",6,12,B,69
"Problema urgente: emails de confirmación no se envían",4,14,C,87
"Propuesta para implementar autenticación de dos factores",30,2,A,13
"Error en cálculo de descuentos promocionales",9,7,B,56
"El widget de chat en vivo no aparece en la página",10,6,B,49
"Sistema caído en fin de semana crítico de ventas",1,23,C,98
"Solicitud de análisis de uso para optimizar licencias",34,2,A,10
"La sincronización con calendario falla constantemente",8,8,B,58
